ビデオシリアル番号,AI解析結果,確認者,確認者名,確認日時,承認者,承認者名,承認日時,日付,管轄拠点,拠点名,カメラ名,レビュー件数,タイムスタンプ1,コメント1,レビュー1,レビュー日時1,備考1,タイムスタンプ2,コメント2,レビュー2,レビュー日時2,備考2,タイムスタンプ3,コメント3,レビュー3,レビュー日時3,備考3,タイムスタンプ4,コメント4,レビュー4,レビュー日時4,備考4,タイムスタンプ5,コメント5,レビュー5,レビュー日時5,備考5,タイムスタンプ6,コメント6,レビュー6,レビュー日時6,備考6,タイムスタンプ7,コメント7,レビュー7,レビュー日時7,備考7,タイムスタンプ8,コメント8,レビュー8,レビュー日時8,備考8,タイムスタンプ9,コメント9,レビュー9,レビュー日時9,備考9,タイムスタンプ10,コメント10,レビュー10,レビュー日時10,備考10
1049627,NG,,,,,,,5/19/2026 9:30,中部支店,名古屋第１　メディカルロジスティクスセンター,●【中部LC】不審者検知カメラ５-API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049620,NG,,,,,,,5/19/2026 9:30,関東支店,東京第３　メディカルロジスティクスセンター,●【首都圏第3】南東側中央プラットフォーム-API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049619,NG,,,,,,,5/19/2026 9:30,関西支店,神戸第２　メディカルロジスティクスセンター（若松梱包内）,○【CPD】1階南1バース_OWHCNWC0029-API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049616,NG,,,,,,,5/19/2026 9:30,関東支店,東京第３　メディカルロジスティクスセンター,●【首都圏第3】北東側中央プラットフォーム-API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049615,NG,,,,,,,5/19/2026 9:30,北関東営業所,高崎第１　メディカルロジスティクスセンター,●【東日本LC】 A棟1階カメラ4_API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049611,NG,,,,,,,5/19/2026 9:30,北関東営業所,高崎第１　メディカルロジスティクスセンター,●【東日本LC】 A棟1階カメラ3_API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049610,NG,,,,,,,5/19/2026 9:30,北関東営業所,高崎第１　メディカルロジスティクスセンター,●【東日本LC】 A棟1階カメラ2_API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049609,NG,,,,,,,5/19/2026 9:30,仙台営業所,仙台第１　メディカルロジスティクスセンター,●【仙台】南棟１F東シャッター_API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049608,NG,,,,,,,5/19/2026 9:30,関西支店,神戸第２　メディカルロジスティクスセンター（若松梱包内）,○【CPD】1階南EV・扉_OWHCNWC0031-API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049606,NG,,,,,,,5/19/2026 9:30,仙台営業所,仙台第１　メディカルロジスティクスセンター,●【仙台】北棟１F西シャッター_API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049600,NG,,,,,,,5/19/2026 9:30,関東支店,東京第１　メディカルロジスティクスセンター,●【首都圏中央】1F C棟_毒向薬庫,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049599,NG,,,,,,,5/19/2026 9:30,関東支店,東京第１　メディカルロジスティクスセンター,●【首都圏中央】1F D棟_毒向薬庫,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049597,NG,,,,,,,5/19/2026 9:30,札幌営業所,札幌第３　メディカルロジスティクスセンター（丸和運輸内）,○【旭運輸第二】2階倉庫出入口,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049591,NG,,,,,,,5/19/2026 9:30,関東支店,東京第１　メディカルロジスティクスセンター,●【首都圏中央】1F C棟_荷捌き場,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049590,NG,,,,,,,5/19/2026 9:30,札幌営業所,札幌第１　メディカルロジスティクスセンター,●【札幌営業所】1F B棟_プラットフォーム3-API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049589,NG,,,,,,,5/19/2026 9:30,関東支店,東京第２　メディカルロジスティクスセンター,●【首都圏第2】1F_入荷場3-API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049587,NG,,,,,,,5/19/2026 9:30,関東支店,東京第２　メディカルロジスティクスセンター,●【首都圏第2】1F_出荷場5-API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049585,NG,,,,,,,5/19/2026 9:30,関東支店,東京第２　メディカルロジスティクスセンター,●【首都圏第2】1F_冷所室2-API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049584,NG,,,,,,,5/19/2026 9:30,札幌営業所,札幌第１　メディカルロジスティクスセンター,●【札幌営業所】1F B棟_プラットフォーム4-API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049580,NG,,,,,,,5/19/2026 9:30,,大阪第１　メディカルロジスティクスセンター（光陽商事内）,〇【大阪第1MLC】5F Bブロック_EV_API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049574,NG,,,,,,,5/19/2026 9:30,,高崎第３　メディカルロジスティクスセンター,○【高崎第3MLC】第2倉庫2階 向精神薬・毒薬庫,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049573,NG,,,,,,,5/19/2026 9:20,関西支店,神戸第１　メディカルロジスティクスセンター,●【西日本LC】1Fプラットフォーム08-API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049571,NG,,,,,,,5/19/2026 9:20,関西支店,神戸第１　メディカルロジスティクスセンター,●【西日本LC】1Fプラットフォーム06-API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049567,NG,,,,,,,5/19/2026 9:20,,大阪第１　メディカルロジスティクスセンター（光陽商事内）,〇【大阪第1MLC】4F Eブロック_EV_API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
